公司名称,公众号名称,类型,时间,总浏览量,头条浏览量,总点赞数,头条点赞数,发文篇数,小宝指数,粉丝数,更新时间
扬州泽冉信息科技有限公司,精彩扬州,时事资讯,2018-11-08,18485,5576,30,11,7,367.42,6万,2018-12-08 12:31:03
扬州泽冉信息科技有限公司,精彩扬州,时事资讯,2018-11-09,14845,5276,14,5,6,367.42,6万,2018-12-08 12:31:03
扬州泽冉信息科技有限公司,精彩扬州,时事资讯,2018-11-10,16351,4283,20,1,6,367.42,6万,2018-12-08 12:31:03
扬州泽冉信息科技有限公司,精彩扬州,时事资讯,2018-11-11,11118,4772,16,12,3,367.42,6万,2018-12-08 12:31:03
扬州泽冉信息科技有限公司,精彩扬州,时事资讯,2018-11-12,18300,8063,14,3,6,367.42,6万,2018-12-08 12:31:03
扬州泽冉信息科技有限公司,精彩扬州,时事资讯,2018-11-13,10447,4563,10,4,6,367.42,6万,2018-12-08 12:31:03
扬州泽冉信息科技有限公司,精彩扬州,时事资讯,2018-11-14,25095,12624,31,14,6,367.42,6万,2018-12-08 12:31:03
扬州泽冉信息科技有限公司,精彩扬州,时事资讯,2018-11-15,0,0,0,0,0,367.42,6万,2018-12-08 12:31:03
扬州泽冉信息科技有限公司,精彩扬州,时事资讯,2018-11-16,12135,4155,12,7,6,367.42,6万,2018-12-08 12:31:03
扬州泽冉信息科技有限公司,精彩扬州,时事资讯,2018-11-17,16330,4967,42,12,6,367.42,6万,2018-12-08 12:31:03
扬州泽冉信息科技有限公司,精彩扬州,时事资讯,2018-11-18,15933,9878,75,71,3,367.42,6万,2018-12-08 12:31:03
扬州泽冉信息科技有限公司,精彩扬州,时事资讯,2018-11-19,0,0,0,0,0,367.42,6万,2018-12-08 12:31:03
扬州泽冉信息科技有限公司,精彩扬州,时事资讯,2018-11-20,3873,1960,1,0,6,367.42,6万,2018-12-08 12:31:03
扬州泽冉信息科技有限公司,精彩扬州,时事资讯,2018-11-21,17481,6705,20,8,6,367.42,6万,2018-12-08 12:31:03
扬州泽冉信息科技有限公司,精彩扬州,时事资讯,2018-11-22,16147,7469,16,5,6,367.42,6万,2018-12-08 12:31:03
扬州泽冉信息科技有限公司,精彩扬州,时事资讯,2018-11-23,0,0,0,0,0,367.42,6万,2018-12-08 12:31:03
扬州泽冉信息科技有限公司,精彩扬州,时事资讯,2018-11-24,14947,4012,18,6,6,367.42,6万,2018-12-08 12:31:03
扬州泽冉信息科技有限公司,精彩扬州,时事资讯,2018-11-25,22171,15674,207,201,3,367.42,6万,2018-12-08 12:31:03
扬州泽冉信息科技有限公司,精彩扬州,时事资讯,2018-11-26,24942,11658,41,11,6,367.42,6万,2018-12-08 12:31:03
扬州泽冉信息科技有限公司,精彩扬州,时事资讯,2018-11-27,18448,5872,21,6,6,367.42,6万,2018-12-08 12:31:03
扬州泽冉信息科技有限公司,精彩扬州,时事资讯,2018-11-28,21513,8558,31,13,6,367.42,6万,2018-12-08 12:31:03
扬州泽冉信息科技有限公司,精彩扬州,时事资讯,2018-11-29,14631,4906,16,11,6,367.42,6万,2018-12-08 12:31:03
扬州泽冉信息科技有限公司,精彩扬州,时事资讯,2018-11-30,19362,5248,16,2,6,367.42,6万,2018-12-08 12:31:03
